Credit_Utilization_Ratio,Debt_to_Income_Ratio,Loan_Purpose,Default_Status
-0.3516680312164464,-0.3844396351449016,0,0
1.0351057234535181,-0.4860681036014504,4,0
0.5017312024266087,-0.8671748603135082,1,0
0.18170648981046306,0.17451694136611628,1,0
-0.8850425522433559,-0.13036846400352986,2,0
-0.8850425522433559,0.7969913106624772,3,0
-1.1250610867054651,-1.21017094135436,2,0
0.8217559150427544,0.2634418512655965,3,1
0.18170648981046306,0.555623698078174,2,1
0.4483937503239177,0.5429201395211054,2,1
-1.2050672648595016,0.8478055448907516,1,0
1.0617744495048635,0.47940234673576243,3,0
0.7417497368887179,0.9494340133473004,0,0
-0.7516989219866286,-0.4860681036014504,0,0
-0.8317051001406649,-0.054147112661118255,2,0
-0.8050363740893194,-1.2482816170255657,1,0
-0.5383491135758648,-1.2736887341397027,1,1
-0.004974592548955423,-0.7020285990716163,3,0
-0.2183244009597191,-1.0450246801124683,2,0
-0.5650178396272103,-0.6639179234004107,0,0
0.20837521586180854,-0.8544713017564396,3,1
-0.9117112782947014,-0.054147112661118255,2,1
-0.5650178396272103,0.9113233376760946,3,0
-0.3783367572677919,-1.2609851755826345,1,0
-0.1649869488570281,0.49210590529283105,0,0
0.6350748326833362,-0.9179890945417825,3,0
-0.778367648037974,0.9113233376760946,0,0
-0.031643318600300625,0.8732126620048888,2,0
0.15503776375911754,0.2888489683797337,4,0
-1.1517298127568105,-0.054147112661118255,3,0
0.20837521586180854,-0.054147112661118255,0,1
-0.8583738261920104,1.0891731574750547,3,0
-1.0983923606541195,0.8351019863336829,2,0
1.0084369974021725,0.8732126620048888,2,0
1.0617744495048635,0.3015525269368023,0,1
0.6884122847860269,-0.4479574279302446,1,0
-0.5383491135758648,0.8732126620048888,3,0
-1.0183861825000833,-0.5876965720579991,3,0
0.39505629822122673,0.07288847290956747,2,0
-0.1916556749083736,-1.0450246801124683,3,0
-0.9650487303973924,0.9367304547902318,0,0
2.1818609436613734,-0.9433962116559196,1,0
-1.1783985388081561,-0.7401392747428222,2,0
0.9284308192481363,0.06018491435249887,4,1
-0.6450240177812466,0.555623698078174,3,0
0.34171884611853576,0.21262761703732208,1,0
2.1818609436613734,-0.7274357161857535,0,1
-0.004974592548955423,-1.2863922926967715,3,0
-0.05831204465164612,0.5429201395211054,0,0
-0.8050363740893194,1.0891731574750547,1,0
1.0617744495048635,0.6699557250917911,1,0
0.6084061066319907,-0.18118269823180427,3,0
1.0084369974021725,0.898619779119026,2,0
0.9017620931967909,-0.29551472524542155,4,0
0.18170648981046306,-0.016036436989912452,1,0
0.9550995452994818,-0.13036846400352986,4,0
-1.0450549085514287,-0.20658981534594148,4,1
-0.778367648037974,0.5810308151923113,0,0
-1.1517298127568105,-0.016036436989912452,2,0
-0.48501166147317376,-0.5241787792726562,2,1
-0.32499930516510095,-0.6639179234004107,3,0
-0.6183552917299011,-1.1974673827972915,1,1
0.7417497368887179,0.12370270713784187,1,0
-0.40500548331913744,-0.7274357161857535,0,0
-0.5916865656785557,-0.9306926530988511,2,1
0.04836285955373557,0.2888489683797337,3,0
-0.9117112782947014,0.3523667611650764,1,0
0.6617435587346814,0.5302165809640368,4,1
-1.071723634602774,-0.06685067121818686,1,0
1.1151119016075546,0.8732126620048888,2,0
0.6084061066319907,0.9748411304614373,0,0
-0.778367648037974,0.6572521665347225,4,0
-1.2584047169621926,0.2507382927085279,0,0
0.6884122847860269,-0.5495858963867932,1,1
0.4483937503239177,1.0891731574750547,1,0
0.5017312024266087,-0.6258072477292049,3,0
0.5817373805806452,-0.7909535089710965,1,0
-1.071723634602774,-0.21929337390301007,1,0
-0.40500548331913744,-1.146653148569017,2,0
-0.9917174564487378,1.0764695989179862,2,0
